date,value
01/07/2005,100
01/08/2005,100.88
01/09/2005,101.78
01/10/2005,104.74
01/11/2005,106.34
01/12/2005,108.31
01/01/2006,109.61
01/02/2006,109.88
01/03/2006,111.8
01/04/2006,113.08
01/05/2006,114.75
01/06/2006,114.7
01/07/2006,115.54
01/08/2006,116.03
01/09/2006,114.52
01/10/2006,115.33
01/11/2006,115.43
01/12/2006,115.87
01/01/2007,116.26
01/02/2007,117.17
01/03/2007,118.42
01/04/2007,117.76
01/05/2007,118.56
01/06/2007,119.01
01/07/2007,118.03
01/08/2007,117.22
01/09/2007,117.76
01/10/2007,118.7
01/11/2007,119.18
01/12/2007,120.35
01/01/2008,119.09
01/02/2008,120.03
01/03/2008,121.15
01/04/2008,123.79
01/05/2008,124.85
01/06/2008,126.17
01/07/2008,126.47
01/08/2008,127.73
01/09/2008,126.8
01/10/2008,126.24
01/11/2008,125.98
01/12/2008,125.46
01/01/2009,125.18
01/02/2009,125.76
01/03/2009,124.94
01/04/2009,123.75
01/05/2009,122.9
01/06/2009,123.17
01/07/2009,122.75
01/08/2009,121
01/09/2009,122
01/10/2009,123.73
01/11/2009,124.4
01/12/2009,122.89
01/01/2010,121.8
01/02/2010,120.99
01/03/2010,123.97
01/04/2010,126.61
01/05/2010,127.99
01/06/2010,129.86
01/07/2010,132.49
01/08/2010,131.48
01/09/2010,129.51
01/10/2010,129.98
01/11/2010,129.07
01/12/2010,130.91
01/01/2011,131.94
01/02/2011,133.65
01/03/2011,133.22
01/04/2011,133.44
01/05/2011,134.22
01/06/2011,135.53
01/07/2011,138.59
01/08/2011,140.33
01/09/2011,142.68
01/10/2011,152.07
01/11/2011,154.92
01/12/2011,154.43
01/01/2012,154.67
01/02/2012,156.47
01/03/2012,157.37
01/04/2012,157.56
01/05/2012,158.34
01/06/2012,160.75
01/07/2012,159.68
01/08/2012,162.08
01/09/2012,163.62
01/10/2012,165.88
01/11/2012,164.97
01/12/2012,164.64
01/01/2013,165.05
01/02/2013,168.36
01/03/2013,169.29
01/04/2013,168.27
01/05/2013,168.7
01/06/2013,169.33
01/07/2013,168.96
01/08/2013,170.1
01/09/2013,169.82
01/10/2013,167.13
01/11/2013,166.32
01/12/2013,170.51
01/01/2014,174.1
01/02/2014,176.19
01/03/2014,177.07
01/04/2014,180.29
01/05/2014,178.2
01/06/2014,177.09
01/07/2014,178.95
01/08/2014,184.91
01/09/2014,184.51
01/10/2014,185.98
01/11/2014,193.33
01/12/2014,192.25
01/01/2015,194.48
01/02/2015,197.81
01/03/2015,198.73
01/04/2015,202.28
01/05/2015,204.36
01/06/2015,203.14
01/07/2015,209.07
01/08/2015,207.74
01/09/2015,202.52
01/10/2015,203.37
01/11/2015,199.56
01/12/2015,197.66
01/01/2016,196.81
01/02/2016,195.09
01/03/2016,195.37
01/04/2016,197.84
01/05/2016,199.96
01/06/2016,198.17
01/07/2016,197.13
01/08/2016,198.15
01/09/2016,195.76
01/10/2016,198.34
01/11/2016,199.88
01/12/2016,199.68
01/01/2017,200.67
01/02/2017,202.48
01/03/2017,206.79
01/04/2017,205.72
01/05/2017,204.24
01/06/2017,200.81
01/07/2017,200.47
01/08/2017,203.24
01/09/2017,202.25
01/10/2017,202.42
01/11/2017,205.38
01/12/2017,205.61
01/01/2018,207.44
01/02/2018,207.9
01/03/2018,205.07
01/04/2018,204.72
01/05/2018,206.73
01/06/2018,205.88
01/07/2018,206.84
01/08/2018,206.15
01/09/2018,207.41
01/10/2018,208.5
01/11/2018,209.9
01/12/2018,212.36
01/01/2019,211.11
01/02/2019,211.69
01/03/2019,209.9
01/04/2019,204.8
01/05/2019,203.76
01/06/2019,204.7
01/07/2019,205.53
01/08/2019,206.46
01/09/2019,201.68
01/10/2019,202.38
01/11/2019,202.55
01/12/2019,204.52
01/01/2020,204.92
01/02/2020,204.93
01/03/2020,199.19
01/04/2020,198.67
01/05/2020,198.13
01/06/2020,197.43
01/07/2020,194.86
01/08/2020,194.31
01/09/2020,193.94
01/10/2020,194.68
01/11/2020,195.61
01/12/2020,195.59
01/01/2021,198.41
01/02/2021,199.92
01/03/2021,201.62
01/04/2021,201.83
01/05/2021,204.58
01/06/2021,203.77
01/07/2021,205.19
01/08/2021,205.99
